Field_name,Field_locator_name,Field_locator_value
profile_email_assert,xpath,"//h3[contains(text(),'Add email ID')]"
profile_submit,xpath,"//span[contains(text(),'Submit')]"
profile_activate,xpath,"//*[@id=""full-width-tabpanel-0""]/ul/li[4]/p"
profile_yes,xpath,"//span[contains(text(),'Yes')]"
profile_email_edit,xpath,"//span[contains(text(),'Hari98@gmail.com')]"
profile_dot,xpath,"//*[@id=""full-width-tabpanel-0""]/ul/li[4]/button/span[1]/img"
profile_mail_list,xpath,"//*[@id=""email-3-menu""]/div[3]/ul/li"
profile_phno,xpath,"//span[contains(text(),'Phone Number')]"
profile_phonenumber,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[2]/div[1]/div[1]/div[1]/input[1]
profile_phno_code,xpath,//body/div[3]/div[3]/div[1]/div[2]/div[1]/div[1]/input[1]
profile_phno_verify,xpath,"//span[contains(text(),'Verify')]"
profile_phno_edit,xpath,"//span[contains(text(),'+1 (555) 123 9966')]  "
profile_dot_phno,xpath,"//*[@id=""full-width-tabpanel-1""]/ul/li[6]/button/span[1]/img "
profile_phno_list,xpath,"//*[@id=""phone-5-menu""]/div[3]/ul/li  "
profile_phno_activate,xpath,"//*[@id=""full-width-tabpanel-1""]/ul/li[6]/p  "
profile_address,xpath,"//span[contains(text(),'Address')]"
profile_add2,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[2]/div[3]/div[1]/input[1]
profile_address_activate,xpath,"//*[@id=""full-width-tabpanel-2""]/ul/li[3]/p"
profile_address_edit,xpath,"//p[contains(text(),'Mystreet Kingston')]"
profile_address_back,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div[1]/div[1]/img"
profile_dot_address,xpath,"//*[@id=""full-width-tabpanel-2""]/ul/li[3]/button/span[1]/img "
profile_address_list,xpath,"//*[@id=""address-2-menu""]/div[3]/ul/li "
profile_address_back,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[1]/img[1]
profile_plancoverage,xpath,"//p[contains(text(),'Review, edit plan coverage')]"
profile_plan_plus,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[1]/div[1]/div[2]/img[2]
profile_addassert,xpath,"//h3[contains(text(),'Add plan')]"
profile_planname,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div[1]/div/div/input"
profile_plan_holderfname,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div[2]/div/div/input"
profile_plan_holderlname,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div[3]/div/div/input"
profile_plan_relationship,xpath,"//div[contains(text(),'self')]"
profile_plan_memberid,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div[5]/div/div/input"
profile_plan_groupid,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div[6]/div/div/input"
profile_plan_type,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div[7]/div/div/input"
profile_plan_save,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[8]/button[1]
profile_dot_plan,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/ul/div[2]/li/button/span[1]/img"
profile_plan_edit,xpath,"//p[contains(text(),'Star')]"
profile_plan_editassert,xpath,"//h3[contains(text(),'Edit plan')]"
profile_plan_back,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[1]/div[1]/img[1] 
profile_plan_list,xpath,//body/div[4]/div[3]/ul/li
profile_plan_activate,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/ul/div[2]/li/p"
profile_plancoverage_back,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[1]/div[1]/div[1]/img[1]
profile_password,xpath,"//p[contains(text(),'Edit password details')]"
profile_passwordassert,xpath,"//h3[contains(text(),'Change password')]"
profile_oldpassword,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div/div[1]/div/div/input"
profile_newpassword,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div/div[3]/div/div/input"
profile_confirmpassword,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div/div[4]/div/div/input"
profile_passwordsave,xpath,"//*[@id=""root""]/div/div[3]/div[2]/div/div[2]/div/div[6]"
profile_oldeye,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/div[1]/img[1]
profile_neweye,xpath,/html/body/div[1]/div/div[3]/div[2]/div/div[2]/div/div[3]/div/div/div/img
profile_confirmeye,xpath,/html/body/div[1]/div/div[3]/div[2]/div/div[2]/div/div[4]/div/div/div/img
help_secondassert,xpath,"//*[@id=""panel0a-header""]/div[1]/p"
help_secondabout,xpath,"//p[contains(text(),'What is a second opinion?')]"
help_awardpoints,xpath,"//*[@id=""panel1a-header""]/div[1]/p"
help_awardpointsabout,xpath,"//p[contains(text(),'How do I earn award points?')]"
help_referralassert,xpath,"//*[@id=""panel2a-header""]/div[1]/p"
help_referralabout,xpath,"//p[contains(text(),'How do I refer a friend ?')]"
help_profileassert,xpath,"//*[@id=""panel3a-header""]/div[1]/p"
help_profileabout,xpath,"//p[contains(text(),'Why do I always need to enter a password or authen')]"
help_paymentassert,xpath,"//*[@id=""panel4a-header""]/div[1]/p"
help_paymentabout,xpath,"//p[contains(text(),'How can I store my payments in Mpowered?')]"
help_coverageassert,xpath,"//*[@id=""panel5a-header""]/div[1]/p"
help_coverageabout,xpath,"//p[contains(text(),'What are the different relationships to the subscr')]"
your_award_point_history,xpath,"//h2[contains(text(),'Your award points history')]"
available_award_point,xpath,"//p[contains(text(),'Available award points')]"
award_points_reedem,xpath,"//p[contains(text(),'Award points to redeem')]"
redeem_award_points_title,xpath,"//h3[contains(text(),'Redeem award points')]"
redeemed_title,xpath,"//h3[contains(text(),'Redeemed')]"
redeemed_points,xpath,"//h2[contains(text(),'You have redeemed 2000 points')]"
availed_gift,xpath,"//h4[contains(text(),'You have availed this gift card')]"
award_points_title,xpath,"//h3[contains(text(),'Award points')]"
amount_exceed_valid_msg,xpath,//p[@id='amount-gift-card-text-field-helper-text']
bills_page_title,xpath,"//h3[contains(text(),'Bills')]"
alerts_header,xpath,"//h3[contains(text(),'Your alerts')]"
circle_my_medicare_icon,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[1]/div[1]/img[1]
my_medicare_claims_icon,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[1]/div[1]/img[1]
claims_title,xpath,"//h3[contains(text(),'Claims')]"
claims_back_arrow,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[1]/div[1]/img[1]
claims_select_claim_type_text,xpath,//label[@id='type-simple-select-placeholder-label-label']
claims_claim_type_dropdown,xpath,//body/div[@id='menu-']/div[3]/ul[1]
claims_claim_type,xpath,//div[@id='type-simple-select-placeholder-label']
claims_time_period,xpath,//div[@id='tp-simple-select-placeholder-label']
claims_time_period_dropdown,xpath,//body/div[@id='menu-']/div[3]/ul[1]
claims_claim_summary_tab,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[2]/div[1]/div[1]/button[1]
claims_claims_tab,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[2]/div[1]/div[1]/button[2]
claims_patient_portion_text,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[3]/div[1]/div[1]/div[1]/div[1]/h1[1]
claims_insurer_portion_text,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[3]/div[1]/div[1]/div[2]/div[1]/h1[1]
claims_record_found_text,xpath,"//p[contains(text(),'790 records found')]"
claims_help_breakdown_text,xpath,"//h1[contains(text(),'Here is a helpful breakdown')]"
claims_breakdown_box,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[3]/div[1]/div[3]
claims_institutional,xpath,"//h3[contains(text(),'Institutional')]"
claims_pharmacy,xpath,"//h3[contains(text(),'Pharmacy')]"
claims_professional,xpath,"//h3[contains(text(),'Professional')]"
claims_HHA,xpath,"//h3[contains(text(),'HHA')]"
claims_DME,xpath,"//h3[contains(text(),'DME')]"
claims_vision,xpath,"//h3[contains(text(),'Vision')]"
claims_dental,xpath,"//h3[contains(text(),'Dental')]"
claims_total,xpath,"//h3[contains(text(),'Total')]"
claims_funnel_icon,xpath,"//*[local-name() = 'svg'  and @aria-controls=""sort-menu""]"
claims_funnel_dropdown,xpath,//body/div[@id='sort-menu']/div[3]/ul[1]
claims_oldest_newest_box,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[4]/div[1]/div[2]/div[2]
claims_prescription_drug_claim,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[4]/div[1]/div[2]/div[2]/div[1]/div[1]/span[1]
claims_claim_number,xpath,"//h2[contains(text(),'Claim number - -7257978277')]"
claims_claim_details,xpath,"//h3[contains(text(),'Claim Details')]"
claims_claim_type_text,xpath,"//h3[contains(text(),'Type')]"
claims_claim_type_value,xpath,"//h3[contains(text(),'Prescription drugs')]"
claims_claim_provider_text,xpath,"//h3[contains(text(),'Provider number')]"
claims_claim_provider_value,xpath,"//h3[contains(text(),'999999999999999')]"
claims_claim_insurer_text,xpath,"//h3[contains(text(),'Insurer portion')]"
claims_claim_insurer_value,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[4]/h3[2]
claims_claim_patient_text,xpath,"//h3[contains(text(),'Patient portion')]"
claims_claim_patient_value,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[5]/h3[2]
claims_claim_service_date_text,xpath,"//h3[contains(text(),'Service date')]"
claims_claim_service_date_value,xpath,"//h3[contains(text(),'Dec 01, 2016 - Dec 01, 2016')]"
claims_services_title,xpath,"//h3[contains(text(),'Services')]"
claims_services_down_arrow,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[7]/div[1]/div[1]/div[1]/img[1]
claims_service_name,xpath,"//h3[contains(text(),'Fluticasone Propionate - FLUTICASONE PROPIONATE')]"
claims_service_quantity_text,xpath,"//h3[contains(text(),'Quantity')]"
claims_service_quantity_value,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[7]/div[1]/div[1]/div[2]/h3[2]
claims_service_insurer_portion_text,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[7]/div[1]/div[1]/div[3]/h3[1]
claims_service_insurer_portion_value,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[7]/div[1]/div[1]/div[3]/h3[2]
claims_service_patient_portion_text,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[7]/div[1]/div[1]/div[4]/h3[1]
claims_service_patient_portion_value,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[7]/div[1]/div[1]/div[4]/h3[2]
claims_related_record_title,xpath,"//p[contains(text(),'Related records')]"
claims_related_record_claims,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[8]/div[1]/div[1]/img[1]
claims_related_record_conditions,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[8]/div[1]/div[2]/img[1]
claims_related_record_medications,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[8]/div[1]/div[3]/img[1]
claims_related_record_more,xpath,//body/div[@id='root']/div[1]/div[3]/div[2]/div[1]/div[2]/div[8]/div[1]/div[4]/img[1]
claims_related_record_allergies,xpath,//body/div[3]/div[3]/div[1]/div[2]/div[1]/img[1]
claims_related_record_procedures,xpath,//body/div[3]/div[3]/div[1]/div[2]/div[2]/img[1]
